"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary",1,1.406125,1.23273,"group",-0.173395,-0.123314072361988
"tau",1,0.05762245,0.075719,"group",0.01809655,0.314053810624158
"beta",1,0.570445,0.5186415,"group",-0.0518035000000001,-0.0908124359053022
"drift_con",1,-0.639694,-0.360306,"group",0.279388,0.436752572323642
"gain",1,0.213435,0.129304,"group",-0.084131,-0.39417621289854
"loss",1,1.010695,1.406055,"group",0.39536,0.391176368736364
"retend",1,0.504439,0.4353575,"group",-0.0690815,-0.136947182910124
"boundary",2,1.68359,1.74026,"group",0.05667,0.0336602141851638
"tau",2,0.3997655,0.3545245,"group",-0.045241,-0.113168845235519
"beta",2,0.4733445,0.4816105,"group",0.008266,0.0174629683032126
"drift_con",2,-1.199095,-0.6479905,"group",0.5511045,0.459600365275479
"gain",2,0.146205,0.112505,"group",-0.0337,-0.230498272972881
"loss",2,3.82801,1.694075,"group",-2.133935,-0.557452827970669
"retend",2,0.2817025,0.402688,"group",0.1209855,0.429479681578971
"boundary",3,1.668995,1.455835,"group",-0.21316,-0.127717578542776
"tau",3,0.254915,0.3069865,"group",0.0520715,0.204270050801247
"beta",3,0.539526,0.532998,"group",-0.00652799999999998,-0.012099509569511
"drift_con",3,-1.23701,-0.653551,"group",0.583459,0.471668781982361
"gain",3,0.1837025,0.115826,"group",-0.0678765,-0.369491433159592
"loss",3,1.12856,1.518205,"group",0.389645,0.34525855958035
"retend",3,0.350647,0.389205,"group",0.038558,0.109962440859326
"boundary",4,1.85629,1.675675,"group",-0.180615,-0.0972989134240878
"tau",4,0.2079225,0.208826,"group",0.000903500000000002,0.00434536906780171
"beta",4,0.614839,0.6016515,"group",-0.0131874999999999,-0.0214487044575896
"drift_con",4,-0.4617535,-0.409329,"group",0.0524245,0.113533519507703
"gain",4,0.101133,0.1122095,"group",0.0110765,0.109524092037218
"loss",4,1.388955,1.007235,"group",-0.38172,-0.274825318314848
"retend",4,0.365102,0.381724,"group",0.016622,0.045527003412745
"boundary",5,2.5466,2.337595,"group",-0.209005,-0.0820721746642582
"tau",5,0.06490035,0.06768735,"group",0.00278700000000001,0.0429427576276555
"beta",5,0.74714,0.741128,"group",-0.00601200000000002,-0.00804668469095486
"drift_con",5,-0.1267995,-0.08751505,"group",0.03928445,0.309815496117887
"gain",5,0.105382,0.107413,"group",0.00203099999999999,0.0192727410753259
"loss",5,0.6953985,0.7993105,"group",0.103912,0.149427989850424
"retend",5,0.391589,0.549754,"group",0.158165,0.403905625541065
"boundary",6,2.24247,2.196145,"group",-0.0463249999999999,-0.020658024410583
"tau",6,0.190649,0.113138,"group",-0.077511,-0.406563894906346
"beta",6,0.723835,0.6437165,"group",-0.0801185,-0.110686137033993
"drift_con",6,-1.526735,-0.6322485,"group",0.8944865,0.585881963798564
"gain",6,0.1304905,0.107266,"group",-0.0232245,-0.177978473528724
"loss",6,1.246195,0.872599,"group",-0.373596,-0.299789358808212
"retend",6,0.4446225,0.5113535,"group",0.066731,0.150084622348172
"boundary",7,1.884825,1.839965,"group",-0.0448600000000001,-0.0238006180945181
"tau",7,0.264095,0.248101,"group",-0.015994,-0.0605615403547964
"beta",7,0.546161,0.551444,"group",0.00528300000000004,0.00967297188924152
"drift_con",7,-1.42999,-0.82368,"group",0.60631,0.423995971999804
"gain",7,0.113396,0.1085755,"group",-0.00482049999999999,-0.0425103178242618
"loss",7,4.26683,1.325775,"group",-2.941055,-0.689283378995648
"retend",7,0.3946705,0.359149,"group",-0.0355215,-0.0900029264918458
"boundary",8,1.94329,1.98419,"group",0.0408999999999999,0.0210467814891241
"tau",8,0.3122875,0.2667535,"group",-0.045534,-0.145807949405596
"beta",8,0.685944,0.627159,"group",-0.058785,-0.0856994156957419
"drift_con",8,-0.03781745,-0.02779295,"group",0.0100245,0.26507604293785
"gain",8,0.1021855,0.1200395,"group",0.017854,0.174721462438409
"loss",8,0.684982,0.8067985,"group",0.1218165,0.177838979710416
"retend",8,0.520672,0.554876,"group",0.0342039999999999,0.0656920287628294
"boundary",9,1.41189,1.49307,"group",0.0811799999999998,0.0574973971060067
"tau",9,0.08371625,0.0865187,"group",0.00280245,0.0334755797112269
"beta",9,0.468493,0.4817615,"group",0.0132685,0.0283216611560898
"drift_con",9,-1.00289,-0.6586685,"group",0.3442215,0.343229566552663
"gain",9,0.237524,0.1222675,"group",-0.1152565,-0.485241491386134
"loss",9,2.7336,3.555935,"group",0.822335,0.300824919520047
"retend",9,0.3807855,0.3085665,"group",-0.072219,-0.189657957038805
"boundary",10,2.01421,1.95079,"group",-0.0634199999999998,-0.031486289910188
"tau",10,0.121836,0.0929623,"group",-0.0288737,-0.236988246495289
"beta",10,0.5585375,0.4952845,"group",-0.0632529999999999,-0.113247543808607
"drift_con",10,-0.212227,-0.06309265,"group",0.14913435,0.702711483458749
"gain",10,0.109926,0.1090125,"group",-0.000913499999999998,-0.0083101359096119
"loss",10,0.5953695,0.604565,"group",0.00919550000000002,0.0154450303550988
"retend",10,0.7493015,0.78564,"group",0.0363384999999999,0.0484964997400912
"boundary",11,0.91858,0.83453,"group",-0.08405,-0.0914999237954233
"tau",11,0.0843281,0.08959955,"group",0.00527145,0.0625111914059489
"beta",11,0.595427,0.5749925,"group",-0.0204345,-0.0343190685004207
"drift_con",11,-1.396985,-1.15018,"group",0.246805,0.17666975665451
"gain",11,0.2228015,0.131089,"group",-0.0917125,-0.411633225090495
"loss",11,3.16984,4.044035,"group",0.874195,0.275785213133786
"retend",11,0.323956,0.449869,"group",0.125913,0.388673153144254
"boundary",12,1.89601,1.814465,"group",-0.081545,-0.0430087394053829
"tau",12,0.07894665,0.08445705,"group",0.0055104,0.06979903517122
"beta",12,0.668248,0.657313,"group",-0.0109349999999999,-0.0163636853383772
"drift_con",12,-0.2900985,-0.4592075,"group",-0.169109,-0.582936485366177
"gain",12,0.1110675,0.11268,"group",0.0016125,0.0145181983928692
"loss",12,0.8553335,1.20459,"group",0.3492565,0.408327862757626
"retend",12,0.571825,0.4568655,"group",-0.1149595,-0.201039653740218
"boundary",13,1.86246,1.83484,"group",-0.02762,-0.0148298486947371
"tau",13,0.09405325,0.08379825,"group",-0.010255,-0.109033978092198
"beta",13,0.562691,0.520959,"group",-0.0417320000000001,-0.0741650390711778
"drift_con",13,-1.311495,-0.1190785,"group",1.1924165,0.90920400001525
"gain",13,0.127167,0.1285175,"group",0.0013505,0.0106198935258361
"loss",13,4.62844,3.278485,"group",-1.349955,-0.291665226296549
"retend",13,0.384931,0.1466665,"group",-0.2382645,-0.618979765204673
"boundary",14,1.733465,1.575195,"group",-0.15827,-0.0913026798925852
"tau",14,0.07520785,0.0625207,"group",-0.01268715,-0.168694491333019
"beta",14,0.581737,0.5855125,"group",0.00377550000000004,0.00649004618925742
"drift_con",14,-0.5260935,-0.2635555,"group",0.262538,0.499032966573432
"gain",14,0.11705,0.1186575,"group",0.0016075,0.0137334472447672
"loss",14,0.876502,0.8908715,"group",0.0143695,0.0163941439951079
"retend",14,0.8545385,0.8108245,"group",-0.0437139999999999,-0.0511550971664822
"boundary",15,2.113855,1.86555,"group",-0.248305,-0.117465483677925
"tau",15,0.07934285,0.0713771,"group",-0.00796574999999999,-0.100396570075312
"beta",15,0.7929695,0.7309125,"group",-0.062057,-0.0782589998732612
"drift_con",15,-0.1107265,-0.02641555,"group",0.08431095,0.761434254672549
"gain",15,0.113843,0.131085,"group",0.017242,0.151454195690556
"loss",15,1.001975,0.884507,"group",-0.117468,-0.117236457995459
"retend",15,0.3335915,0.2975355,"group",-0.036056,-0.108084288718388
"boundary",16,1.95672,1.92401,"group",-0.03271,-0.0167167504803958
"tau",16,0.104384,0.12796,"group",0.023576,0.225858369098712
"beta",16,0.5180345,0.5204175,"group",0.00238300000000002,0.00460007972441995
"drift_con",16,-1.559465,-1.039365,"group",0.5201,0.333511813346244
"gain",16,0.1088415,0.112479,"group",0.00363749999999999,0.0334201568335606
"loss",16,3.78902,2.759755,"group",-1.029265,-0.27164411905981
"retend",16,0.3920785,0.4424855,"group",0.050407,0.128563540209422
"boundary",17,1.672675,1.62906,"group",-0.043615,-0.026074999626347
"tau",17,0.1605585,0.154864,"group",-0.00569449999999999,-0.0354668236188056
"beta",17,0.5930575,0.5798135,"group",-0.013244,-0.0223317300599015
"drift_con",17,-0.9188445,-0.5337915,"group",0.385053,0.419062202581612
"gain",17,0.155141,0.1178595,"group",-0.0372815,-0.240307204414049
"loss",17,2.088205,1.58521,"group",-0.502995,-0.240874339444643
"retend",17,0.4461915,0.229017,"group",-0.2171745,-0.486729352755487
"boundary",18,1.18072,1.19319,"group",0.01247,0.0105613523951487
"tau",18,0.141215,0.1392705,"group",-0.00194449999999999,-0.0137697836632085
"beta",18,0.54957,0.530484,"group",-0.019086,-0.0347289699219391
"drift_con",18,-0.612343,-0.518072,"group",0.094271,0.153951298536931
"gain",18,0.1045115,0.1442855,"group",0.039774,0.380570559220756
"loss",18,1.30544,2.703475,"group",1.398035,1.07093010785636
"retend",18,0.4799315,0.487224,"group",0.00729249999999998,0.0151948767688722
"boundary",19,1.75949,1.71891,"group",-0.0405800000000001,-0.0230635013555065
"tau",19,0.195435,0.204555,"group",0.00911999999999999,0.046665131629442
"beta",19,0.510566,0.519286,"group",0.00871999999999984,0.0170790847804198
"drift_con",19,-0.402069,-0.365963,"group",0.036106,0.0898005068781727
"gain",19,0.1043405,0.1054845,"group",0.00114399999999999,0.0109641031047387
"loss",19,1.436715,1.76188,"group",0.325165,0.226325332442412
"retend",19,0.6676895,0.53822,"group",-0.1294695,-0.193906748571005
"boundary",20,1.484395,1.474035,"group",-0.0103599999999999,-0.0069792743845135
"tau",20,0.2179095,0.206706,"group",-0.0112035,-0.0514135455315164
"beta",20,0.484854,0.4796705,"group",-0.00518350000000001,-0.0106908471416138
"drift_con",20,-0.9792765,-0.3965445,"group",0.582732,0.5950638047579
"gain",20,0.1226355,0.116891,"group",-0.00574450000000001,-0.0468420644919294
"loss",20,5.143185,2.923345,"group",-2.21984,-0.431608040542971
"retend",20,0.1359735,0.2541405,"group",0.118167,0.869044335844852
"boundary",21,1.616715,1.719825,"group",0.10311,0.0637774746940554
"tau",21,0.20672,0.173621,"group",-0.033099,-0.160115131578947
"beta",21,0.549884,0.549863,"group",-2.10000000000488e-05,-3.81898727732554e-05
"drift_con",21,-1.44733,-0.525955,"group",0.921375,0.636603262559333
"gain",21,0.132404,0.116069,"group",-0.016335,-0.123372405667502
"loss",21,1.563605,2.156105,"group",0.5925,0.378932019275968
"retend",21,0.2978945,0.317604,"group",0.0197095,0.0661626851116756
"boundary",22,1.995095,1.9019,"group",-0.0931950000000001,-0.0467120613304129
"tau",22,0.15779,0.1538295,"group",-0.00396049999999998,-0.0250998162114201
"beta",22,0.6012745,0.5551255,"group",-0.046149,-0.0767519660321534
"drift_con",22,-1.52664,-0.676647,"group",0.849993,0.556773699103914
"gain",22,0.1240655,0.1104325,"group",-0.013633,-0.109885504028114
"loss",22,4.184725,1.7042,"group",-2.480525,-0.592756991200139
"retend",22,0.1695045,0.5446355,"group",0.375131,2.21310348692808
"boundary",23,1.39239,1.406945,"group",0.0145549999999999,0.0104532494487894
"tau",23,0.194657,0.1948035,"group",0.000146500000000022,0.000752605865702346
"beta",23,0.5396885,0.5522615,"group",0.0125729999999999,0.0232967721194725
"drift_con",23,0.023883,-0.207067,"group",-0.23095,-9.67005820039358
"gain",23,0.1063735,0.112482,"group",0.0061085,0.0574250165689763
"loss",23,0.6801865,0.697164,"group",0.0169775,0.0249600660995183
"retend",23,0.658664,0.6192405,"group",-0.0394234999999998,-0.0598537342256444
"boundary",24,1.77061,1.668555,"group",-0.102055,-0.0576383280338414
"tau",24,0.0694823,0.136188,"group",0.0667057,0.960038743680045
"beta",24,0.5165235,0.44709,"group",-0.0694335,-0.134424667996713
"drift_con",24,-1.07467,-0.863781,"group",0.210889,0.196236053858394
"gain",24,0.1167695,0.109743,"group",-0.00702649999999999,-0.0601741036828966
"loss",24,2.273265,2.32408,"group",0.0508149999999996,0.0223533112065683
"retend",24,0.1030105,0.366036,"group",0.2630255,2.55338533450474
"boundary",25,1.76639,1.56471,"group",-0.20168,-0.114176371016593
"tau",25,0.387859,0.3986695,"group",0.0108105,0.0278722422323576
"beta",25,0.425961,0.422012,"group",-0.00394900000000004,-0.00927080178701814
"drift_con",25,-0.5764885,-0.383063,"group",0.1934255,0.335523605414505
"gain",25,0.118737,0.1143085,"group",-0.00442849999999999,-0.0372967145877021
"loss",25,0.8651745,0.621181,"group",-0.2439935,-0.282016518055028
"retend",25,0.907878,0.909572,"group",0.00169400000000008,0.00186588946973061
"boundary",26,2.283765,1.31433,"group",-0.969435,-0.424489822726944
"tau",26,0.0932466,0.0566986,"group",-0.036548,-0.391949947772895
"beta",26,0.921431,0.6960795,"group",-0.2253515,-0.244566874784981
"drift_con",26,-0.124694,0.2124,"group",0.337094,2.70336984939131
"gain",26,0.280434,0.1333135,"group",-0.1471205,-0.52461720048211
"loss",26,4.569735,1.48359,"group",-3.086145,-0.675344412750411
"retend",26,0.2854875,0.4901065,"group",0.204619,0.71673540873068
"boundary",27,1.845075,1.705995,"group",-0.13908,-0.0753790496321288
"tau",27,0.4092425,0.409333,"group",9.04999999999934e-05,0.000221140277463835
"beta",27,0.583819,0.5298865,"group",-0.0539324999999999,-0.092378802334285
"drift_con",27,-0.7907725,-0.927744,"group",-0.1369715,-0.173212270280011
"gain",27,0.107178,0.11095,"group",0.003772,0.0351937897702887
"loss",27,5.589835,1.540505,"group",-4.04933,-0.724409575595702
"retend",27,0.2221825,0.440302,"group",0.2181195,0.981713231240084
"boundary",28,1.547875,1.562765,"group",0.0148900000000001,0.00961963982879759
"tau",28,0.0695492,0.06391975,"group",-0.00562945000000001,-0.0809419806410427
"beta",28,0.5451445,0.539232,"group",-0.0059125000000001,-0.0108457482373941
"drift_con",28,-0.385523,-0.1531925,"group",0.2323305,0.602637196743126
"gain",28,0.151703,0.1282975,"group",-0.0234055,-0.154285017435384
"loss",28,1.428005,1.306735,"group",-0.12127,-0.0849226718393842
"retend",28,0.748105,0.805128,"group",0.057023,0.076223257430441
"boundary",29,1.26348,1.280875,"group",0.017395,0.0137675309462754
"tau",29,0.110513,0.1215905,"group",0.0110775,0.100237076181083
"beta",29,0.437805,0.406294,"group",-0.031511,-0.0719749660236862
"drift_con",29,-0.540785,-0.5339625,"group",0.00682250000000006,0.0126159194504287
"gain",29,0.1095065,0.111588,"group",0.00208149999999999,0.0190080040910812
"loss",29,5.031825,4.701705,"group",-0.330119999999999,-0.065606415167459
"retend",29,0.340161,0.6494815,"group",0.3093205,0.909335579328612
"boundary",30,1.31373,1.370945,"group",0.0572149999999998,0.0435515669125313
"tau",30,0.1713045,0.144543,"group",-0.0267615,-0.156221815538996
"beta",30,0.617095,0.580399,"group",-0.036696,-0.0594657224576442
"drift_con",30,-1.259,-1.07225,"group",0.18675,0.148332009531374
"gain",30,0.155263,0.115177,"group",-0.040086,-0.258181279506386
"loss",30,3.053535,2.504195,"group",-0.54934,-0.17990296492426
"retend",30,0.527617,0.2391335,"group",-0.2884835,-0.54676687824691
"boundary",31,1.879455,1.65116,"group",-0.228295,-0.121468723645951
"tau",31,0.0982779,0.098763,"group",0.000485099999999988,0.00493600290604488
"beta",31,0.5948875,0.5685325,"group",-0.026355,-0.0443024941690656
"drift_con",31,-0.532341,-0.438049,"group",0.0942919999999999,0.177127067049128
"gain",31,0.1448515,0.111458,"group",-0.0333935,-0.230536100765266
"loss",31,0.6149545,0.739773,"group",0.1248185,0.202971927191361
"retend",31,0.9222625,0.92484,"group",0.00257750000000012,0.00279475745788224
"boundary",32,1.59505,1.595985,"group",0.000934999999999908,0.00058618852073597
"tau",32,0.1035165,0.0937437,"group",-0.0097728,-0.0944081378330991
"beta",32,0.472159,0.4749465,"group",0.0027875,0.00590373158194591
"drift_con",32,-0.3665215,-0.5722655,"group",-0.205744,-0.561342240496124
"gain",32,0.1036815,0.122434,"group",0.0187525,0.180866403360291
"loss",32,1.529335,2.155905,"group",0.62657,0.409700948451451
"retend",32,0.32286,0.3764855,"group",0.0536255,0.166095211546801
"boundary",33,1.348795,1.26091,"group",-0.087885,-0.0651581596906869
"tau",33,0.1641155,0.1674405,"group",0.00332499999999997,0.0202601216825953
"beta",33,0.5560615,0.575677,"group",0.0196155,0.0352757743522974
"drift_con",33,-0.6161305,-0.956703,"group",-0.3405725,-0.552760332429575
"gain",33,0.1052295,0.1142155,"group",0.00898599999999999,0.085394304828969
"loss",33,1.523255,1.369915,"group",-0.15334,-0.10066600798947
"retend",33,0.153786,0.532778,"group",0.378992,2.46441158492971
"boundary",34,1.290455,1.243935,"group",-0.0465200000000001,-0.0360493004405424
"tau",34,0.1553625,0.1474755,"group",-0.00788700000000003,-0.0507651460294475
"beta",34,0.5263335,0.5006195,"group",-0.025714,-0.0488549560307296
"drift_con",34,-0.2528635,-0.416156,"group",-0.1632925,-0.645773312478867
"gain",34,0.100967,0.115123,"group",0.014156,0.140204225142868
"loss",34,4.964855,4.375015,"group",-0.589840000000001,-0.11880306675623
"retend",34,0.332369,0.311081,"group",-0.021288,-0.0640492946093048
"boundary",35,1.57208,1.500955,"group",-0.0711249999999999,-0.0452426085186504
"tau",35,0.1222055,0.1091415,"group",-0.013064,-0.106901898850706
"beta",35,0.610323,0.5286775,"group",-0.0816455,-0.133774247406701
"drift_con",35,-0.450512,-0.234875,"group",0.215637,0.478648737436517
"gain",35,0.1059985,0.129225,"group",0.0232265,0.219121025297528
"loss",35,0.7585205,0.7722415,"group",0.013721,0.018089161729973
"retend",35,0.414962,0.504026,"group",0.089064,0.214631701216015
"boundary",36,1.71808,1.372225,"group",-0.345855,-0.201303198919724
"tau",36,0.08106295,0.0586406,"group",-0.02242235,-0.276604169969141
"beta",36,0.78681,0.616098,"group",-0.170712,-0.216967247493041
"drift_con",36,0.03226815,0.0688886,"group",0.03662045,1.13487913003999
"gain",36,0.125292,0.121435,"group",-0.00385700000000001,-0.0307840883695688
"loss",36,0.69753,0.642367,"group",-0.0551630000000001,-0.0790833369174087
"retend",36,0.7281565,0.7526095,"group",0.0244529999999999,0.033582066492574
"boundary",37,1.495115,1.37993,"group",-0.115185,-0.0770408965196656
"tau",37,0.09000625,0.09045425,"group",0.000448000000000004,0.0049774321227693
"beta",37,0.653416,0.6524055,"group",-0.00101050000000003,-0.00154648799539654
"drift_con",37,-0.761752,-0.4396625,"group",0.3220895,0.422827245612745
"gain",37,0.1341545,0.117601,"group",-0.0165535,-0.123391313746464
"loss",37,2.80686,2.591885,"group",-0.214975,-0.0765891423156126
"retend",37,0.8301815,0.527868,"group",-0.3023135,-0.364153501372893
"boundary",38,1.788655,1.623365,"group",-0.16529,-0.092410218851595
"tau",38,0.08562425,0.0716223,"group",-0.01400195,-0.163527855718444
"beta",38,0.6539015,0.5914535,"group",-0.0624480000000001,-0.0955006220355819
"drift_con",38,-0.694323,-0.312616,"group",0.381707,0.549754221018172
"gain",38,0.2453645,0.128307,"group",-0.1170575,-0.477075942118766
"loss",38,1.476915,1.070805,"group",-0.40611,-0.27497181625212
"retend",38,0.758944,0.6973355,"group",-0.0616085000000001,-0.0811766085508286
"boundary",39,1.89667,1.830805,"group",-0.0658649999999998,-0.0347266525014894
"tau",39,0.0900827,0.0853077,"group",-0.004775,-0.0530068481517539
"beta",39,0.6467345,0.5917525,"group",-0.054982,-0.085014793551295
"drift_con",39,-0.661226,-0.3112245,"group",0.3500015,0.529322047227423
"gain",39,0.10976,0.1135655,"group",0.0038055,0.0346711005830904
"loss",39,2.02254,1.196545,"group",-0.825995,-0.408394889594273
"retend",39,0.146667,0.4337555,"group",0.2870885,1.95741714223377
"boundary",40,1.36969,1.32806,"group",-0.0416300000000001,-0.0303937387292015
"tau",40,0.133852,0.130644,"group",-0.00320799999999999,-0.0239667692675491
"beta",40,0.593786,0.586045,"group",-0.007741,-0.0130366832495209
"drift_con",40,-0.6892795,-0.4758105,"group",0.213469,0.309698750651949
"gain",40,0.1271475,0.11745,"group",-0.00969750000000003,-0.0762696867811009
"loss",40,1.29785,1.02486,"group",-0.27299,-0.21034017798667
"retend",40,0.532739,0.545193,"group",0.0124540000000001,0.023377301079891
"boundary",41,2.039385,1.875525,"group",-0.16386,-0.0803477518957922
"tau",41,0.1345465,0.10665,"group",-0.0278965,-0.207337240284957
"beta",41,0.623476,0.57286,"group",-0.0506160000000001,-0.0811835579877976
"drift_con",41,-0.2760965,-0.240702,"group",0.0353945,0.128196119834913
"gain",41,0.102715,0.105115,"group",0.0024,0.0233656233266806
"loss",41,0.610966,0.5599575,"group",-0.0510085,-0.0834882792168468
"retend",41,0.8809745,0.878908,"group",-0.00206649999999997,-0.00234569786072125
"boundary",42,1.61661,1.42642,"group",-0.19019,-0.117647422693167
"tau",42,0.2129605,0.212696,"group",-0.000264500000000001,-0.00124201436416613
"beta",42,0.620598,0.585029,"group",-0.035569,-0.057314074489444
"drift_con",42,-0.169324,-0.302566,"group",-0.133242,-0.786905577472774
"gain",42,0.103606,0.1044935,"group",0.000887499999999999,0.00856610621006505
"loss",42,0.598011,0.623457,"group",0.0254459999999999,0.0425510567531364
"retend",42,0.8690985,0.864689,"group",-0.00440949999999996,-0.0050736481538053
"boundary",43,1.66957,1.622795,"group",-0.046775,-0.0280161957869392
"tau",43,0.0606619,0.0767247,"group",0.0160628,0.264792233675503
"beta",43,0.595633,0.604478,"group",0.0088450000000001,0.0148497480831319
"drift_con",43,-0.235204,-0.733655,"group",-0.498451,-2.11922841448275
"gain",43,0.106135,0.1108005,"group",0.0046655,0.0439581664860791
"loss",43,0.968807,2.855095,"group",1.886288,1.94702143977077
"retend",43,0.314492,0.252015,"group",-0.062477,-0.198660061305216
"boundary",44,1.75318,1.678415,"group",-0.074765,-0.0426453644235047
"tau",44,0.2346065,0.214462,"group",-0.0201445,-0.0858650548897836
"beta",44,0.4938255,0.483973,"group",-0.00985250000000004,-0.0199513795865139
"drift_con",44,-0.222862,-0.4948715,"group",-0.2720095,-1.2205288474482
"gain",44,0.1136315,0.116526,"group",0.00289449999999999,0.0254726902311418
"loss",44,0.6122915,0.911697,"group",0.2994055,0.488991762910313
"retend",44,0.3935795,0.3817095,"group",-0.0118699999999999,-0.0301590911111985
"boundary",45,1.754025,1.783825,"group",0.0298,0.0169894955887174
"tau",45,0.1720385,0.1504575,"group",-0.021581,-0.125442851454761
"beta",45,0.44929,0.4458915,"group",-0.00339850000000003,-0.00756415678069849
"drift_con",45,-0.189267,-0.332118,"group",-0.142851,-0.754759149772544
"gain",45,0.101901,0.111626,"group",0.009725,0.095435766086692
"loss",45,5.275215,6.012695,"group",0.737480000000001,0.13980093702342
"retend",45,0.1552585,0.415855,"group",0.2605965,1.67846848964791
"boundary",46,1.17458,1.08286,"group",-0.0917199999999998,-0.0780874865909515
"tau",46,0.0596406,0.07685255,"group",0.01721195,0.288594514475039
"beta",46,0.554587,0.625426,"group",0.0708390000000001,0.127732889519589
"drift_con",46,-0.4293185,-0.3246515,"group",0.104667,0.243798019419149
"gain",46,0.119439,0.1197725,"group",0.0003335,0.00279222029655306
"loss",46,0.607256,1.45697,"group",0.849714,1.39926818343499
"retend",46,0.745218,0.4090805,"group",-0.3361375,-0.451059287349474
"boundary",47,1.696755,1.64565,"group",-0.0511050000000002,-0.0301192570524325
"tau",47,0.1864245,0.1929415,"group",0.006517,0.0349578515699385
"beta",47,0.4214305,0.440999,"group",0.0195685,0.0464335163211965
"drift_con",47,-0.1614875,-0.1043525,"group",0.057135,0.353804474030498
"gain",47,0.102985,0.1075895,"group",0.00460450000000001,0.0447103947176774
"loss",47,0.5480555,0.6608105,"group",0.112755,0.20573646282174
"retend",47,0.8239735,0.8141955,"group",-0.00977799999999995,-0.0118668864957428
"boundary",48,1.34145,1.34766,"group",0.00620999999999983,0.0046293190204628
"tau",48,0.225846,0.2111545,"group",-0.0146915,-0.0650509639311742
"beta",48,0.497583,0.5002485,"group",0.00266549999999999,0.00535689523154928
"drift_con",48,-1.1828,-0.931999,"group",0.250801,0.212040074399729
"gain",48,0.1599345,0.119424,"group",-0.0405105,-0.25329431736117
"loss",48,2.51738,1.52405,"group",-0.99333,-0.394588818533555
"retend",48,0.1609675,0.3731955,"group",0.212228,1.31845248264401
"boundary",49,1.69221,1.49271,"group",-0.1995,-0.1178931692875
"tau",49,0.204404,0.2014715,"group",-0.00293249999999998,-0.0143465881293907
"beta",49,0.647885,0.585964,"group",-0.0619210000000001,-0.0955740602113031
"drift_con",49,-0.439051,-0.294946,"group",0.144105,0.328219272931846
"gain",49,0.109488,0.1100095,"group",0.000521500000000008,0.00476307905889237
"loss",49,4.47156,2.36412,"group",-2.10744,-0.471298607197488
"retend",49,0.4313195,0.475962,"group",0.0446425,0.103502160231569
"boundary",50,1.42431,1.227115,"group",-0.197195,-0.138449494843117
"tau",50,0.0862138,0.07953025,"group",-0.00668355000000001,-0.0775229719604055
"beta",50,0.7412195,0.6938445,"group",-0.0473750000000001,-0.0639149401762906
"drift_con",50,-0.3554045,-0.46467,"group",-0.1092655,-0.307439832641399
"gain",50,0.119093,0.115978,"group",-0.00311500000000001,-0.0261560293216227
"loss",50,1.26575,1.58384,"group",0.31809,0.251305550069129
"retend",50,0.4258015,0.283027,"group",-0.1427745,-0.335307649221527
"boundary",51,1.73221,1.683795,"group",-0.0484150000000001,-0.027949844418402
"tau",51,0.2686805,0.2601335,"group",-0.00854699999999997,-0.0318110171746739
"beta",51,0.6273185,0.594001,"group",-0.0333175,-0.0531109795104082
"drift_con",51,-0.5528235,-0.488301,"group",0.0645225,0.116714466733053
"gain",51,0.1546915,0.1093345,"group",-0.045357,-0.293209387716843
"loss",51,1.8566,1.72212,"group",-0.13448,-0.0724334805558549
"retend",51,0.147876,0.3418795,"group",0.1940035,1.31193364710974
"boundary",52,1.67706,1.637795,"group",-0.0392649999999999,-0.0234129965534924
"tau",52,0.2041095,0.212363,"group",0.0082535,0.0404366283783949
"beta",52,0.4821665,0.4520905,"group",-0.030076,-0.0623767930787394
"drift_con",52,-0.0107631,0.1819425,"group",0.1927056,17.9042840817237
"gain",52,0.1059185,0.127939,"group",0.0220205,0.207900413997555
"loss",52,1.00216,0.692033,"group",-0.310127,-0.309458569489902
"retend",52,0.655902,0.6540675,"group",-0.00183449999999996,-0.00279691173376505
"boundary",53,2.20539,1.24648,"group",-0.95891,-0.434802914677223
"tau",53,0.0958307,0.06815635,"group",-0.02767435,-0.288783761362486
"beta",53,0.935865,0.746691,"group",-0.189174,-0.202138128896796
"drift_con",53,-0.09489415,0.06435625,"group",0.1592504,1.67818985680361
"gain",53,0.108689,0.112847,"group",0.00415800000000001,0.0382559412636054
"loss",53,1.351195,0.6410425,"group",-0.7101525,-0.525573658872332
"retend",53,0.254568,0.6111545,"group",0.3565865,1.40075146915559
"boundary",54,1.59364,1.540405,"group",-0.0532349999999999,-0.0334046585176074
"tau",54,0.0682924,0.0539188,"group",-0.0143736,-0.210471443381694
"beta",54,0.6276585,0.592461,"group",-0.0351975,-0.0560774688783789
"drift_con",54,-1.5057,-0.6382625,"group",0.8674375,0.576102477253105
"gain",54,0.147807,0.1173085,"group",-0.0304985,-0.206340024491398
"loss",54,4.62556,2.994185,"group",-1.631375,-0.352687026003338
"retend",54,0.373755,0.352171,"group",-0.021584,-0.0577490602132413
"boundary",55,1.637175,1.5665,"group",-0.070675,-0.0431688732114771
"tau",55,0.3774025,0.376984,"group",-0.000418499999999988,-0.00110889567504187
"beta",55,0.562665,0.5117295,"group",-0.0509355,-0.0905254458692117
"drift_con",55,-1.102525,-0.5405995,"group",0.5619255,0.509671436021859
"gain",55,0.1415775,0.1199895,"group",-0.021588,-0.152481856227155
