"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"con",1,1.23586,1.134785,"group",-0.101075,-0.0817851536581814
"gain",1,0.407932,0.263036,"group",-0.144896,-0.355196454311013
"loss",1,2.15352,1.275395,"group",-0.878125,-0.407762639771165
"update",1,0.47123,0.382539,"group",-0.0886910000000001,-0.188211701292363
"decay",1,0.501161,0.4623465,"group",-0.0388145,-0.0774491630434131
"epP",1,1.24836,1.13255,"group",-0.11581,-0.0927697138645903
"epN",1,0.5340075,0.6400425,"group",0.106035,0.198564626901308
"K",1,0.347726,0.358479,"group",0.010753,0.0309237733157717
"w",1,0.216485,0.2241615,"group",0.00767650000000003,0.0354597316211286
"con",2,0.964061,1.0465,"group",0.0824389999999999,0.0855122238115637
"gain",2,0.153343,0.205714,"group",0.052371,0.341528468857398
"loss",2,2.62311,2.11376,"group",-0.50935,-0.194177903328492
"update",2,0.4685705,0.3656665,"group",-0.102904,-0.219612630329908
"decay",2,0.471419,0.545485,"group",0.074066,0.157112886837399
"epP",2,0.882966,0.695447,"group",-0.187519,-0.212373975894881
"epN",2,0.1026685,0.0421052,"group",-0.0605633,-0.58989173894622
"K",2,0.383532,0.480633,"group",0.097101,0.253175745439755
"w",2,0.3413335,0.4765795,"group",0.135246,0.39622832215414
"con",3,0.8476985,0.818193,"group",-0.0295055000000001,-0.0348065969209572
"gain",3,0.249804,0.2213465,"group",-0.0284575,-0.113919312741189
"loss",3,2.09462,1.727725,"group",-0.366895,-0.175160649664378
"update",3,0.492405,0.481249,"group",-0.011156,-0.02265614687097
"decay",3,0.698556,0.653337,"group",-0.0452189999999999,-0.0647321045127376
"epP",3,0.5553785,0.486032,"group",-0.0693465,-0.124863493995536
"epN",3,0.9590475,0.7601385,"group",-0.198909,-0.207402657324064
"K",3,0.4453995,0.414467,"group",-0.0309325,-0.0694488880207543
"w",3,0.274582,0.360516,"group",0.085934,0.312962976451479
"con",4,1.480065,1.86163,"group",0.381565,0.257802866765986
"gain",4,0.493384,0.285329,"group",-0.208055,-0.421689799426005
"loss",4,2.24066,2.191005,"group",-0.049655,-0.0221608811689413
"update",4,0.445344,0.379237,"group",-0.066107,-0.148440306818998
"decay",4,0.4931005,0.348681,"group",-0.1444195,-0.292880457432106
"epP",4,1.172765,0.9356265,"group",-0.2371385,-0.202204618998691
"epN",4,0.8082915,0.9091575,"group",0.100866,0.124789138571914
