"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error"
"boundary1",1,1.902885,1.87114,"group",-0.0317449999999999,-0.0166825635810887
"boundary",1,1.78835,2.0207,"group",0.23235,0.129924231833813
"tau1",1,0.1331845,0.1353835,"group",0.00219900000000001,0.0165109303259764
"tau",1,0.0823141,0.0882573,"group",0.0059432,0.0722014818846345
"drift_con",1,0.4132585,0.832676,"group",0.4194175,1.0149035047071
"urgency",1,0.1639895,0.1718645,"group",0.00787499999999999,0.0480213672216818
"gain",1,0.452561,0.833064,"group",0.380503,0.840777265385219
"loss",1,3.95539,0.525266,"group",-3.430124,-0.867202475609232
"update",1,0.3910925,0.308761,"group",-0.0823315000000001,-0.210516693621074
"boundary1",2,1.676215,1.545575,"group",-0.13064,-0.0779374960849295
"boundary",2,0.956424,1.016315,"group",0.0598910000000001,0.0626197167783328
"tau1",2,0.0594298,0.09399665,"group",0.03456685,0.581641701637899
"tau",2,0.0526105,0.0614858,"group",0.0088753,0.168698263654594
"drift_con",2,2.1398,1.88946,"group",-0.25034,-0.116992242265632
"urgency",2,0.1207345,0.20968,"group",0.0889455,0.736703262116462
"gain",2,1.242215,1.341535,"group",0.0993199999999999,0.0799539532206581
"loss",2,7.424065,0.3228705,"group",-7.1011945,-0.956510281092636
"update",2,0.4709425,0.2120685,"group",-0.258874,-0.549693433911783
"boundary1",3,2.00789,2.13013,"group",0.12224,0.0608798290743019
